mouse_ensembl_id,pos_id,mouse_gene_symbol,description,gene_biotype,chromosome_name,start_position,end_position,human_ensembl_id,human_gene_symbol
ENSMUSG00000000126,11:35809358-63627072,Wnt9a,"wingless-type MMTV integration site family, member 9A [Source:MGI Symbol;Acc:MGI:2446084]",protein_coding,11,59197754,59224378,ENSG00000143816,WNT9A
ENSMUSG00000000157,16:91282318-97872819,Itgb2l,integrin beta 2-like [Source:MGI Symbol;Acc:MGI:1277979],protein_coding,16,96223488,96244819,"",""
ENSMUSG00000000159,16:91282318-97872819,Igsf5,"immunoglobulin superfamily, member 5 [Source:MGI Symbol;Acc:MGI:1919308]",protein_coding,16,96162868,96223321,"",""
ENSMUSG00000000263,11:35809358-63627072,Glra1,"glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]",protein_coding,11,55405064,55499024,ENSG00000145888,GLRA1
ENSMUSG00000000263,11:39435941-58117125,Glra1,"glycine receptor, alpha 1 subunit [Source:MGI Symbol;Acc:MGI:95747]",protein_coding,11,55405064,55499024,ENSG00000145888,GLRA1
ENSMUSG00000000295,10:22606097-53647231,Hddc2,HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942],protein_coding,10,31189379,31204200,ENSG00000111906,HDDC2
ENSMUSG00000000295,10:22659757-45774910,Hddc2,HD domain containing 2 [Source:MGI Symbol;Acc:MGI:1916942],protein_coding,10,31189379,31204200,ENSG00000111906,HDDC2
ENSMUSG00000000296,10:22606097-53647231,Tpd52l1,tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386],protein_coding,10,31208372,31321954,ENSG00000111907,TPD52L1
ENSMUSG00000000296,10:22659757-45774910,Tpd52l1,tumor protein D52-like 1 [Source:MGI Symbol;Acc:MGI:1298386],protein_coding,10,31208372,31321954,ENSG00000111907,TPD52L1
ENSMUSG00000000301,11:35809358-63627072,Pemt,phosphatidylethanolamine N-methyltransferase [Source:MGI Symbol;Acc:MGI:104535],protein_coding,11,59861440,59937315,ENSG00000133027,PEMT
ENSMUSG00000000308,2:106343051-134274315,Ckmt1,"creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]",protein_coding,2,121188195,121194218,ENSG00000223572,CKMT1A
ENSMUSG00000000308,2:106343051-138061588,Ckmt1,"creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]",protein_coding,2,121188195,121194218,ENSG00000223572,CKMT1A
ENSMUSG00000000308,2:108607222-137784113,Ckmt1,"creatine kinase, mitochondrial 1, ubiquitous [Source:MGI Symbol;Acc:MGI:99441]",protein_coding,2,121188195,121194218,ENSG00000223572,CKMT1A
ENSMUSG00000000385,16:91282318-97872819,Tmprss2,"transmembrane protease, serine 2 [Source:MGI Symbol;Acc:MGI:1354381]",protein_coding,16,97365882,97412395,ENSG00000184012,TMPRSS2
ENSMUSG00000000386,16:91282318-97872819,Mx1,MX dynamin-like GTPase 1 [Source:MGI Symbol;Acc:MGI:97243],protein_coding,16,97248235,97264107,ENSG00000157601,MX1
ENSMUSG00000000402,X:162633612-168704990,Egfl6,"EGF-like-domain, multiple 6 [Source:MGI Symbol;Acc:MGI:1858599]",protein_coding,X,165306003,165368716,ENSG00000198759,EGFL6
ENSMUSG00000000439,6:115413776-118980203,Mkrn2,"makorin, ring finger protein, 2 [Source:MGI Symbol;Acc:MGI:1914277]",protein_coding,6,115578863,115599585,ENSG00000075975,MKRN2
ENSMUSG00000000440,6:115413776-118980203,Pparg,peroxisome proliferator activated receptor gamma [Source:MGI Symbol;Acc:MGI:97747],protein_coding,6,115337912,115467360,ENSG00000132170,PPARG
ENSMUSG00000000441,6:115413776-118980203,Raf1,v-raf-leukemia viral oncogene 1 [Source:MGI Symbol;Acc:MGI:97847],protein_coding,6,115595028,115653596,ENSG00000132155,RAF1
ENSMUSG00000000538,11:35809358-63627072,Tom1l2,target of myb1-like 2 (chicken) [Source:MGI Symbol;Acc:MGI:2443306],protein_coding,11,60117540,60243731,ENSG00000175662,TOM1L2
ENSMUSG00000000617,11:35809358-63627072,Grm6,"glutamate receptor, metabotropic 6 [Source:MGI Symbol;Acc:MGI:1351343]",protein_coding,11,50741512,50757035,ENSG00000113262,GRM6
ENSMUSG00000000617,11:39435941-58117125,Grm6,"glutamate receptor, metabotropic 6 [Source:MGI Symbol;Acc:MGI:1351343]",protein_coding,11,50741512,50757035,ENSG00000113262,GRM6
ENSMUSG00000000738,8:112691719-127272752,Spg7,"SPG7, paraplegin matrix AAA peptidase subunit [Source:MGI Symbol;Acc:MGI:2385906]",protein_coding,8,123789681,123824499,ENSG00000197912,SPG7
